,,,Contour,Iamb,Const,NoPhi,FinPhi,InitPhi,TopFirst,Troc
,,,Contour,Iamb,Const,NoPhi,FinPhi,InitPhi,TopFirst,Troc
[SOV],[svo],,1.00,1.00,,1.00,,,,
,[s][vo],,,1.00,,2.00,,1.00,,
,[sv][o],,,1.00,1.00,2.00,1.00,,,
,[s][v][o],,,1.00,,3.00,1.00,1.00,,
,[sov],,1.00,,,1.00,1.00,,,
,[s][ov],,,,,2.00,1.00,,,
,[so][v],,1.00,,1.00,2.00,1.00,1.00,,
,[s][o][v],,,,,3.00,1.00,1.00,,
,[vso],,1.00,,,1.00,,1.00,,1.00
,[v][so],,1.00,,1.00,2.00,1.00,1.00,,1.00
,[vs][o],,,,1.00,2.00,,1.00,,1.00
,[v][s][o],,,,,3.00,1.00,1.00,,1.00
,[ovs],,1.00,1.00,,1.00,,,1.00,
,[o][vs],,,1.00,1.00,2.00,,1.00,1.00,
,[ov][s],,,1.00,,2.00,1.00,,1.00,
,[o][v][s],,,1.00,,3.00,1.00,1.00,1.00,
,[vos],,1.00,,,1.00,,1.00,1.00,1.00
,[v][os],,1.00,,1.00,2.00,1.00,1.00,1.00,1.00
,[vo][s],,,,,2.00,,1.00,1.00,1.00
,[v][o][s],,,,,3.00,1.00,1.00,1.00,1.00
,[osv],,1.00,1.00,,1.00,1.00,,1.00,
,[o][sv],,,1.00,1.00,2.00,1.00,,1.00,
,[os][v],,1.00,1.00,1.00,2.00,1.00,1.00,1.00,
,[o][s][v],,,1.00,,3.00,1.00,1.00,1.00,
[SV],[sv],,,,,1.00,1.00,,,
,[s][v],,,,,2.00,1.00,1.00,,
,[vs],,,,,1.00,,1.00,,1.00
,[v][s],,,,,2.00,1.00,1.00,,1.00
